iStep,time,X,Y,Z,Vx,Vy,Vz,Rx,Ry,Rz,Fx,Fy,Fz,Mx,My,Mz,Fcpx,Fcpy,Fcpz,Tcpx,Tcpy,Tcpz,SumUx,SumUy,SumUz,SumTx,SumTy,SumTz
28,0.014,4,2,4,0,0,0,0,0,0,98.8877,202.396,112.052,-82.9781,-28.8403,111.252,0,0,0,0,0,0,4.11299,33.312,16.9405,-15.1989,0.0577111,16.5059
29,0.0145,4,2,4,0,0,0,0,0,0,96.156,203.331,112.64,-83.3667,-29.1875,110.59,0,0,0,0,0,0,3.84542,33.2714,17.0119,-15.3653,0.169383,16.4594
30,0.015,4,2,4,0,0,0,0,0,0,93.5167,204.185,113.213,-83.7646,-29.5818,109.943,0,0,0,0,0,0,3.62833,33.2479,17.0689,-15.5299,0.290321,16.5003
31,0.0155,4,2,4,0,0,0,0,0,0,90.9569,204.943,113.761,-86.0153,-30.0071,112.032,0,0,0,0,0,0,3.46851,33.2102,17.1243,-15.6825,0.40451,16.6089
32,0.016,4,2,4,0,0,0,0,0,0,88.5051,205.627,114.315,-86.4469,-30.4556,111.407,0,0,0,0,0,0,3.31581,33.1846,17.201,-15.8682,0.475172,16.7004
33,0.0165,4,2,4,0,0,0,0,0,0,86.1376,206.268,114.853,-86.8633,-30.9199,110.765,0,0,0,0,0,0,3.19086,33.1644,17.241,-15.9966,0.54444,16.8226
34,0.017,4,2,4,0,0,0,0,0,0,83.8195,206.846,115.353,-89.0303,-31.4002,116.107,0,0,0,0,0,0,3.09814,33.1358,17.2814,-16.132,0.607112,16.9858
35,0.0175,4,2,4,0,0,0,0,0,0,81.5571,207.394,115.815,-90.7548,-31.8841,112.391,0,0,0,0,0,0,2.95399,33.061,17.3505,-16.3009,0.626233,17.0121
36,0.018,4,2,4,0,0,0,0,0,0,79.3337,207.926,116.221,-91.0669,-32.3587,111.727,0,0,0,0,0,0,2.83668,32.9686,17.4416,-16.5202,0.646839,17.0603
37,0.0185,4,2,4,0,0,0,0,0,0,77.141,208.43,116.59,-91.3319,-32.8358,111.127,0,0,0,0,0,0,2.6789,32.8535,17.5384,-16.7442,0.647551,17.0134
38,0.019,4,2,4,0,0,0,0,0,0,74.9803,208.935,116.928,-91.5645,-33.3054,110.617,0,0,0,0,0,0,2.54218,32.7066,17.629,-16.9668,0.655802,16.9842
39,0.0195,4,2,4,0,0,0,0,0,0,72.8911,209.408,117.23,-91.7228,-33.7397,110.187,0,0,0,0,0,0,2.42796,32.5486,17.7088,-17.1691,0.671309,16.9886
40,0.02,4,2,4,0,0,0,0,0,0,70.8479,209.893,117.546,-92.4667,-34.1697,104.596,0,0,0,0,0,0,2.35961,32.4587,17.7579,-17.335,0.72203,17.1034
41,0.0205,4,2,4,0,0,0,0,0,0,68.8469,210.396,117.883,-92.6394,-34.5974,104.179,0,0,0,0,0,0,2.38052,32.4026,17.7791,-17.449,0.804911,17.4036
