iStep,time,X,Y,Z,Vx,Vy,Vz,Rx,Ry,Rz,Fx,Fy,Fz,Mx,My,Mz,Fcpx,Fcpy,Fcpz,Tcpx,Tcpy,Tcpz,SumUx,SumUy,SumUz,SumTx,SumTy,SumTz
26,0.0065,4,2,4,0,0,0,0,0,0,-463.35,-73.8115,-300.492,-92.9069,-100.361,176.188,0,0,0,0,0,0,-61.6371,-10.246,33.9182,26.9948,1.23369,44.9591
27,0.00675,4,2,4,0,0,0,0,0,0,-447.225,-73.8871,-287.999,-92.0176,-100.321,174.215,0,0,0,0,0,0,-60.8326,-10.0251,34.3243,26.9171,1.45443,44.7224
28,0.007,4,2,4,0,0,0,0,0,0,-433.221,-74.0074,-277.599,-91.4368,-100.369,172.56,0,0,0,0,0,0,-60.0157,-9.94671,34.5093,26.7946,1.62946,44.4967
29,0.00725,4,2,4,0,0,0,0,0,0,-421.072,-74.1152,-268.922,-91.0874,-100.521,171.164,0,0,0,0,0,0,-59.4048,-9.78728,34.849,26.9702,1.80834,44.3818
30,0.0075,4,2,4,0,0,0,0,0,0,-410.458,-74.1915,-261.477,-90.849,-100.67,169.931,0,0,0,0,0,0,-58.7452,-9.55595,35.0574,27.04,1.96128,44.1097
31,0.00775,4,2,4,0,0,0,0,0,0,-401.146,-74.3167,-255.071,-90.7272,-100.794,168.861,0,0,0,0,0,0,-58.0809,-9.29508,35.2071,27.0535,2.12988,43.7939
32,0.008,4,2,4,0,0,0,0,0,0,-392.972,-74.5336,-249.624,-90.7762,-100.93,168.017,0,0,0,0,0,0,-57.5126,-9.02682,35.2805,26.9582,2.27403,43.5104
33,0.00825,4,2,4,0,0,0,0,0,0,-385.692,-74.781,-244.83,-90.7572,-101.091,167.27,0,0,0,0,0,0,-57.0324,-8.87882,35.2608,26.8058,2.43379,43.3681
34,0.0085,4,2,4,0,0,0,0,0,0,-379.207,-75.0677,-240.734,-90.7898,-101.277,166.679,0,0,0,0,0,0,-56.6337,-8.6882,35.3,26.7327,2.60473,43.2168
35,0.00875,4,2,4,0,0,0,0,0,0,-373.362,-75.367,-237.385,-90.9482,-101.549,166.176,0,0,0,0,0,0,-56.2386,-8.4358,35.51,26.8088,2.80953,42.9785
36,0.009,4,2,4,0,0,0,0,0,0,-368.033,-75.5827,-234.575,-91.1123,-101.873,165.638,0,0,0,0,0,0,-55.9385,-8.27198,35.7786,26.9838,3.0357,42.8792
37,0.00925,4,2,4,0,0,0,0,0,0,-363.207,-75.8645,-232.407,-91.4295,-102.305,165.155,0,0,0,0,0,0,-55.5071,-8.02262,35.7635,26.8935,3.19074,42.5949
38,0.0095,4,2,4,0,0,0,0,0,0,-358.924,-76.1778,-230.763,-91.9018,-102.833,164.787,0,0,0,0,0,0,-55.166,-7.8464,35.6551,26.7444,3.31001,42.4289
39,0.00975,4,2,4,0,0,0,0,0,0,-355.125,-76.4987,-229.221,-92.2652,-103.317,164.5,0,0,0,0,0,0,-54.9238,-7.73986,35.5676,26.6226,3.42642,42.3433
40,0.01,4,2,4,0,0,0,0,0,0,-351.725,-76.8394,-227.776,-92.5267,-103.748,164.29,0,0,0,0,0,0,-54.6582,-7.58375,35.5441,26.6069,3.55933,42.2094
41,0.01025,4,2,4,0,0,0,0,0,0,-348.678,-77.201,-226.497,-92.7612,-104.163,164.171,0,0,0,0,0,0,-54.4314,-7.40003,35.5922,26.6644,3.72066,42.0467
42,0.0105,4,2,4,0,0,0,0,0,0,-345.828,-77.5286,-225.34,-92.8712,-104.534,164.009,0,0,0,0,0,0,-54.2597,-7.20583,35.7422,26.8202,3.91292,41.9558
43,0.01075,4,2,4,0,0,0,0,0,0,-343.092,-77.9205,-224.499,-93.0841,-104.943,163.827,0,0,0,0,0,0,-53.9429,-6.96897,35.6804,26.7168,4.07223,41.7032
44,0.011,4,2,4,0,0,0,0,0,0,-340.469,-78.3181,-224.022,-93.4439,-105.421,163.629,0,0,0,0,0,0,-53.7076,-6.78529,35.5642,26.5331,4.21324,41.5784
45,0.01125,4,2,4,0,0,0,0,0,0,-337.984,-78.7269,-223.797,-93.8389,-105.981,163.443,0,0,0,0,0,0,-53.4972,-6.64249,35.48,26.4075,4.3682,41.4905
46,0.0115,4,2,4,0,0,0,0,0,0,-335.76,-79.1685,-223.795,-94.2649,-106.652,163.36,0,0,0,0,0,0,-53.2689,-6.50104,35.4851,26.4506,4.52911,41.3647
47,0.01175,4,2,4,0,0,0,0,0,0,-333.737,-79.5565,-223.735,-94.5994,-107.318,163.284,0,0,0,0,0,0,-53.0805,-6.43405,35.5346,26.5991,4.68311,41.2885
48,0.012,4,2,4,0,0,0,0,0,0,-331.939,-79.917,-223.502,-94.7573,-107.887,163.264,0,0,0,0,0,0,-52.9756,-6.37443,35.5665,26.7333,4.81106,41.2933
49,0.01225,4,2,4,0,0,0,0,0,0,-330.248,-80.3443,-223.335,-94.9991,-108.452,163.265,0,0,0,0,0,0,-52.7859,-6.25685,35.4085,26.6022,4.91436,41.1749
50,0.0125,4,2,4,0,0,0,0,0,0,-328.607,-80.7858,-223.152,-95.2116,-108.998,163.257,0,0,0,0,0,0,-52.5894,-6.05779,35.1719,26.3247,4.99199,41.0042
51,0.01275,4,2,4,0,0,0,0,0,0,-327.001,-81.2249,-223.075,-95.4473,-109.547,163.254,0,0,0,0,0,0,-52.4068,-5.89873,35.1157,26.2437,5.1395,40.8627
52,0.013,4,2,4,0,0,0,0,0,0,-325.365,-81.6548,-223.122,-95.6844,-110.134,163.205,0,0,0,0,0,0,-52.2707,-5.76522,35.1897,26.2807,5.33388,40.753
53,0.01325,4,2,4,0,0,0,0,0,0,-323.738,-82.061,-223.296,-95.9096,-110.802,163.118,0,0,0,0,0,0,-52.1844,-5.66267,35.3213,26.368,5.53399,40.6932
54,0.0135,4,2,4,0,0,0,0,0,0,-322.223,-82.4921,-223.664,-96.2218,-111.558,163.067,0,0,0,0,0,0,-52.1044,-5.58148,35.4642,26.4986,5.74063,40.6504
55,0.01375,4,2,4,0,0,0,0,0,0,-320.872,-82.9327,-224.039,-96.5728,-112.328,163.068,0,0,0,0,0,0,-52.0114,-5.51238,35.3826,26.4216,5.8471,40.5953
56,0.014,4,2,4,0,0,0,0,0,0,-319.626,-83.3702,-224.249,-96.8359,-113.014,163.095,0,0,0,0,0,0,-51.8527,-5.41229,35.1449,26.219,5.90244,40.4765
57,0.01425,4,2,4,0,0,0,0,0,0,-318.5,-83.8078,-224.362,-96.999,-113.661,163.187,0,0,0,0,0,0,-51.723,-5.3786,35.0107,26.1084,5.98818,40.4088
58,0.0145,4,2,4,0,0,0,0,0,0,-317.391,-84.221,-224.355,-97.0136,-114.242,163.257,0,0,0,0,0,0,-51.5562,-5.30295,34.8917,26.0137,6.09869,40.2806
59,0.01475,4,2,4,0,0,0,0,0,0,-316.227,-84.651,-224.397,-96.9886,-114.829,163.286,0,0,0,0,0,0,-51.4563,-5.14337,34.969,26.0778,6.27465,40.1534
60,0.015,4,2,4,0,0,0,0,0,0,-314.983,-85.0884,-224.601,-97.061,-115.472,163.234,0,0,0,0,0,0,-51.4451,-5.04837,35.1612,26.2738,6.5135,40.1812
61,0.01525,4,2,4,0,0,0,0,0,0,-313.719,-85.5657,-225.097,-97.3344,-116.23,163.179,0,0,0,0,0,0,-51.3738,-4.95242,35.2013,26.2591,6.70464,40.1355
62,0.0155,4,2,4,0,0,0,0,0,0,-312.535,-86.0438,-225.728,-97.6841,-117.084,163.154,0,0,0,0,0,0,-51.2351,-4.87162,35.0978,26.1438,6.83084,40.0448
63,0.01575,4,2,4,0,0,0,0,0,0,-311.476,-86.4653,-226.134,-97.857,-117.87,163.168,0,0,0,0,0,0,-51.0608,-4.85615,34.9457,26.0429,6.91768,39.9301
64,0.016,4,2,4,0,0,0,0,0,0,-310.512,-86.8742,-226.296,-97.8418,-118.545,163.216,0,0,0,0,0,0,-50.9607,-4.85515,34.843,26.0009,6.99919,39.8706
65,0.01625,4,2,4,0,0,0,0,0,0,-309.612,-87.3097,-226.371,-97.7323,-119.18,163.327,0,0,0,0,0,0,-50.8303,-4.80917,34.7799,26.0141,7.10626,39.8008
66,0.0165,4,2,4,0,0,0,0,0,0,-308.682,-87.7773,-226.425,-97.6182,-119.81,163.408,0,0,0,0,0,0,-50.8327,-4.75446,34.8368,26.1014,7.28718,39.8453
67,0.01675,4,2,4,0,0,0,0,0,0,-307.693,-88.262,-226.664,-97.6739,-120.507,163.462,0,0,0,0,0,0,-50.838,-4.61358,34.918,26.1042,7.49636,39.7875
68,0.017,4,2,4,0,0,0,0,0,0,-306.623,-88.7085,-227.019,-97.8169,-121.252,163.439,0,0,0,0,0,0,-50.8406,-4.51439,34.9869,26.0849,7.69637,39.7379
69,0.01725,4,2,4,0,0,0,0,0,0,-305.512,-89.1231,-227.503,-97.9989,-122.086,163.365,0,0,0,0,0,0,-50.6964,-4.45961,34.9378,25.9894,7.83659,39.5899
70,0.0175,4,2,4,0,0,0,0,0,0,-304.515,-89.5632,-227.882,-98.0621,-122.914,163.381,0,0,0,0,0,0,-50.5593,-4.46205,34.8792,25.9568,7.94876,39.5243
71,0.01775,4,2,4,0,0,0,0,0,0,-303.622,-90.0051,-228.116,-98.0336,-123.673,163.459,0,0,0,0,0,0,-50.3799,-4.42085,34.8164,25.9516,8.04627,39.3962
72,0.018,4,2,4,0,0,0,0,0,0,-302.793,-90.4658,-228.222,-97.9317,-124.363,163.583,0,0,0,0,0,0,-50.2778,-4.41644,34.7393,25.9574,8.16107,39.3821
73,0.01825,4,2,4,0,0,0,0,0,0,-301.97,-90.9543,-228.348,-97.8764,-125.057,163.715,0,0,0,0,0,0,-50.2933,-4.38198,34.7119,25.9247,8.29916,39.3902
