time,Fx,Fy,Fz
0.0,0.0,0.0,0.0
1.0,-0.20061559724564115,1.4022146397417445e-05,-4.811067515391593e-05
2.0,-0.19073454218606026,1.745645988309244e-05,-5.2061978905823536e-05
4.99999999999994,-0.1803876911771966,1.658926935776614e-05,-3.7057514402125125e-05
9.99999999999983,-0.17683299460655677,1.1056960962145534e-05,-2.6596049569969915e-05
20.0000000000003,-0.17613209246379158,8.573242772910716e-06,-3.271977792408676e-05
40.0000000000006,-0.17610424181435835,8.531729616616246e-06,-3.264987905676753e-05
59.9999999999966,-0.17610419589230525,8.53166717661516e-06,-3.2649914946392133e-05
80.000000000004,-0.17610419581626163,8.531667075085264e-06,-3.264991501700926e-05
100.0,-0.1761041959139637,8.531667083505612e-06,-3.264991504547954e-05
