iStep,time,X,Y,Z,Vx,Vy,Vz,Rx,Ry,Rz,Fx,Fy,Fz,Mx,My,Mz,Fcpx,Fcpy,Fcpz,Tcpx,Tcpy,Tcpz,SumUx,SumUy,SumUz,SumTx,SumTy,SumTz
0,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0005,4,2,4,0,0,0,0,0,0,-1.06581e-14,818.115,0,383.721,5.32907e-15,1325.65,0,0,0,0,0,0,-0.0572281,447.84,-0.179479,295.188,0.23811,622.793
2,0.001,4,2,4,0,0,0,0,0,0,-3.9008,373.486,2.87444,3.13569,-1.57956,813.453,0,0,0,0,0,0,-1.66019,176.915,1.46699,106.719,-0.722591,270.642
3,0.0015,4,2,4,0,0,0,0,0,0,-6.36463,183.932,4.14499,-153.039,-2.475,562.421,0,0,0,0,0,0,-2.34874,64.4754,2.20752,25.3404,-1.22799,114.583
4,0.002,4,2,4,0,0,0,0,0,0,-7.91906,109.297,4.5265,-194.491,-2.85425,438.892,0,0,0,0,0,0,-2.58078,22.8633,2.4227,-2.89471,-1.40226,53.0283
5,0.0025,4,2,4,0,0,0,0,0,0,-8.97004,78.8645,4.6225,-188.599,-3.0696,365.216,0,0,0,0,0,0,-2.6615,7.76567,2.47701,-10.7545,-1.47329,28.3008
6,0.003,4,2,4,0,0,0,0,0,0,-9.70759,65.362,4.69447,-165.71,-3.29388,312.232,0,0,0,0,0,0,-2.71552,2.40662,2.45305,-11.4572,-1.47039,17.5451
7,0.0035,4,2,4,0,0,0,0,0,0,-10.2335,58.4901,4.83166,-138.726,-3.5811,269.906,0,0,0,0,0,0,-2.76253,0.596691,2.39377,-9.96754,-1.42074,12.2294
8,0.004,4,2,4,0,0,0,0,0,0,-10.5965,54.3373,5.04109,-112.912,-3.92973,234.776,0,0,0,0,0,0,-2.78973,0.0523167,2.34975,-8.08293,-1.39055,9.1879
9,0.0045,4,2,4,0,0,0,0,0,0,-10.8454,51.4045,5.31402,-90.2015,-4.32413,205.454,0,0,0,0,0,0,-2.81435,-0.0620246,2.32393,-6.34923,-1.37541,7.19066
10,0.005,4,2,4,0,0,0,0,0,0,-11.015,49.0923,5.63244,-71.0656,-4.74383,181.105,0,0,0,0,0,0,-2.82973,-0.0464263,2.3072,-4.90129,-1.36742,5.75563
11,0.0055,4,2,4,0,0,0,0,0,0,-11.1371,47.1469,5.98101,-55.3513,-5.17054,161.017,0,0,0,0,0,0,-2.84087,0.000213015,2.29586,-3.74607,-1.36273,4.67867
12,0.006,4,2,4,0,0,0,0,0,0,-11.2311,45.4476,6.34243,-42.6619,-5.58827,144.526,0,0,0,0,0,0,-2.85056,0.0549022,2.29334,-2.8368,-1.36429,3.87519
13,0.0065,4,2,4,0,0,0,0,0,0,-11.3102,43.9315,6.70298,-32.5323,-5.98587,131.03,0,0,0,0,0,0,-2.85747,0.103467,2.29821,-2.12305,-1.37101,3.26403
14,0.007,4,2,4,0,0,0,0,0,0,-11.3833,42.5592,7.05336,-24.5152,-6.35692,119.987,0,0,0,0,0,0,-2.84882,0.147228,2.30039,-1.56177,-1.37923,2.78859
15,0.0075,4,2,4,0,0,0,0,0,0,-11.4562,41.3069,7.38792,-18.2109,-6.69825,110.942,0,0,0,0,0,0,-2.83708,0.185153,2.3073,-1.11976,-1.39196,2.42535
16,0.008,4,2,4,0,0,0,0,0,0,-11.533,40.1544,7.70679,-13.2789,-7.01269,103.504,0,0,0,0,0,0,-2.82209,0.217357,2.31222,-0.776319,-1.40325,2.14306
17,0.0085,4,2,4,0,0,0,0,0,0,-11.6165,39.0825,8.0117,-9.43907,-7.30455,97.3493,0,0,0,0,0,0,-2.81028,0.24897,2.31833,-0.501956,-1.41363,1.93642
18,0.009,4,2,4,0,0,0,0,0,0,-11.7069,38.0772,8.30317,-6.45784,-7.57674,92.2167,0,0,0,0,0,0,-2.80253,0.274874,2.32538,-0.285847,-1.42301,1.78282
19,0.0095,4,2,4,0,0,0,0,0,0,-11.8056,37.1302,8.58037,-4.1501,-7.82936,87.9012,0,0,0,0,0,0,-2.79196,0.295687,2.32965,-0.117684,-1.43057,1.66088
20,0.01,4,2,4,0,0,0,0,0,0,-11.9136,36.2404,8.84315,-2.36614,-8.06276,84.2488,0,0,0,0,0,0,-2.77771,0.303337,2.33054,0.00631166,-1.43595,1.55285
21,0.0105,4,2,4,0,0,0,0,0,0,-12.0284,35.4031,9.09098,-0.990337,-8.27795,81.1254,0,0,0,0,0,0,-2.76821,0.302091,2.33465,0.0999482,-1.44254,1.46312
22,0.011,4,2,4,0,0,0,0,0,0,-12.1514,34.6141,9.32486,0.071148,-8.47567,78.424,0,0,0,0,0,0,-2.75985,0.29161,2.3374,0.168785,-1.44716,1.38424
23,0.0115,4,2,4,0,0,0,0,0,0,-12.2818,33.8738,9.54614,0.894739,-8.65786,76.0673,0,0,0,0,0,0,-2.75578,0.273934,2.34223,0.218503,-1.45204,1.31186
24,0.012,4,2,4,0,0,0,0,0,0,-12.4189,33.181,9.75572,1.53601,-8.82625,73.994,0,0,0,0,0,0,-2.7526,0.255994,2.3485,0.255934,-1.45832,1.25008
25,0.0125,4,2,4,0,0,0,0,0,0,-12.5615,32.5321,9.95365,2.03747,-8.98149,72.1534,0,0,0,0,0,0,-2.74926,0.24044,2.35533,0.286469,-1.46504,1.19981
26,0.013,4,2,4,0,0,0,0,0,0,-12.7073,31.9192,10.1397,2.42828,-9.12445,70.4977,0,0,0,0,0,0,-2.74743,0.222169,2.36317,0.31208,-1.47192,1.15562
27,0.0135,4,2,4,0,0,0,0,0,0,-12.8567,31.3362,10.3138,2.73222,-9.25444,68.9917,0,0,0,0,0,0,-2.74793,0.210237,2.37248,0.338127,-1.47978,1.13004
28,0.014,4,2,4,0,0,0,0,0,0,-13.0097,30.7812,10.4773,2.97071,-9.37281,67.6109,0,0,0,0,0,0,-2.74794,0.202724,2.3803,0.360287,-1.48637,1.11103
