iStep,time,X,Y,Z,Vx,Vy,Vz,Rx,Ry,Rz,Fx,Fy,Fz,Mx,My,Mz,Fcpx,Fcpy,Fcpz,Tcpx,Tcpy,Tcpz,SumUx,SumUy,SumUz,SumTx,SumTy,SumTz
27,0.0135,4,2,4,0,0,0,0,0,0,-31.8388,64.2878,21.8641,-2.43081,-23.1658,154.411,0,0,0,0,0,0,-7.07532,6.69505,4.62498,6.57566,-1.97731,15.0638
28,0.014,4,2,4,0,0,0,0,0,0,-32.1179,62.9614,22.2918,-2.02337,-23.5407,151.468,0,0,0,0,0,0,-7.10109,6.51047,4.653,6.5136,-1.98417,14.806
29,0.0145,4,2,4,0,0,0,0,0,0,-32.4276,61.6748,22.6777,-1.72458,-23.8619,148.733,0,0,0,0,0,0,-7.10943,6.3563,4.68742,6.47495,-2.00305,14.5718
30,0.015,4,2,4,0,0,0,0,0,0,-32.7584,60.4136,23.0244,-1.51562,-24.1384,146.159,0,0,0,0,0,0,-7.11957,6.19809,4.70443,6.41877,-2.00613,14.3376
31,0.0155,4,2,4,0,0,0,0,0,0,-33.1058,59.1825,23.342,-1.358,-24.3779,143.739,0,0,0,0,0,0,-7.15296,6.04915,4.71798,6.36931,-1.99815,14.1373
32,0.016,4,2,4,0,0,0,0,0,0,-33.448,58.0032,23.6303,-1.25395,-24.5919,141.477,0,0,0,0,0,0,-7.20314,5.91735,4.75226,6.37779,-1.99468,13.9929
33,0.0165,4,2,4,0,0,0,0,0,0,-33.7858,56.865,23.9078,-1.20303,-24.7964,139.353,0,0,0,0,0,0,-7.26185,5.79189,4.80429,6.40723,-2.00201,13.8582
34,0.017,4,2,4,0,0,0,0,0,0,-34.1229,55.7598,24.1639,-1.20642,-24.9822,137.332,0,0,0,0,0,0,-7.2791,5.65863,4.81809,6.36387,-1.99523,13.6714
35,0.0175,4,2,4,0,0,0,0,0,0,-34.4606,54.6963,24.41,-1.21922,-25.1602,135.403,0,0,0,0,0,0,-7.29888,5.49187,4.82594,6.25746,-1.99214,13.44
36,0.018,4,2,4,0,0,0,0,0,0,-34.7907,53.6474,24.6621,-1.21787,-25.344,133.508,0,0,0,0,0,0,-7.30852,5.349,4.8243,6.17559,-1.98104,13.2593
37,0.0185,4,2,4,0,0,0,0,0,0,-35.1125,52.6175,24.9123,-1.21364,-25.5264,131.647,0,0,0,0,0,0,-7.35421,5.2565,4.86912,6.18035,-1.99247,13.1802
38,0.019,4,2,4,0,0,0,0,0,0,-35.4513,51.6204,25.1493,-1.20156,-25.6858,129.878,0,0,0,0,0,0,-7.40343,5.16228,4.90278,6.17967,-1.99124,13.0967
39,0.0195,4,2,4,0,0,0,0,0,0,-35.807,50.6598,25.3548,-1.21036,-25.8076,128.231,0,0,0,0,0,0,-7.43704,5.06051,4.93948,6.18201,-1.99753,12.9705
40,0.02,4,2,4,0,0,0,0,0,0,-36.1795,49.7263,25.5404,-1.23936,-25.9024,126.696,0,0,0,0,0,0,-7.46338,4.96852,4.96151,6.19072,-1.99122,12.848
41,0.0205,4,2,4,0,0,0,0,0,0,-36.5495,48.8017,25.7163,-1.29607,-25.9923,125.21,0,0,0,0,0,0,-7.46978,4.82321,4.94257,6.11173,-1.96291,12.6433
42,0.021,4,2,4,0,0,0,0,0,0,-36.9017,47.8825,25.8954,-1.35731,-26.0914,123.73,0,0,0,0,0,0,-7.53377,4.71659,4.98088,6.09834,-1.96467,12.5562
43,0.0215,4,2,4,0,0,0,0,0,0,-37.2446,46.9765,26.0654,-1.43618,-26.1903,122.265,0,0,0,0,0,0,-7.58248,4.60923,5.03472,6.09413,-1.98268,12.4515
44,0.022,4,2,4,0,0,0,0,0,0,-37.5871,46.0823,26.2201,-1.51502,-26.2739,120.836,0,0,0,0,0,0,-7.57553,4.50485,5.0455,6.05814,-1.98509,12.3138
45,0.0225,4,2,4,0,0,0,0,0,0,-37.9377,45.2031,26.3578,-1.59502,-26.3325,119.452,0,0,0,0,0,0,-7.58292,4.39646,5.06036,6.01211,-1.98837,12.1741
46,0.023,4,2,4,0,0,0,0,0,0,-38.2829,44.3487,26.4998,-1.64793,-26.3902,118.113,0,0,0,0,0,0,-7.62138,4.28561,5.06372,5.95408,-1.96846,12.0563
47,0.0235,4,2,4,0,0,0,0,0,0,-38.6107,43.5225,26.6522,-1.67694,-26.4649,116.809,0,0,0,0,0,0,-7.67191,4.19868,5.0694,5.94386,-1.93915,11.9892
48,0.024,4,2,4,0,0,0,0,0,0,-38.9134,42.7003,26.8128,-1.68862,-26.5561,115.496,0,0,0,0,0,0,-7.70851,4.0972,5.08207,5.94194,-1.91984,11.8883
49,0.0245,4,2,4,0,0,0,0,0,0,-39.2216,41.8898,26.9644,-1.71163,-26.6363,114.222,0,0,0,0,0,0,-7.73146,3.99089,5.09539,5.92446,-1.90989,11.7646
